unidade;ano;mes;setor_centro_custo;media_permanencia_setor
CHPB;2020;11;CAC - CENTRO DE ACOLHIMENTO DE CRISE;28,526315789473685
CHPB;2020;11;UIC - UNIDADE INTERCORRENCIAS CLINICAS;331,5
CHPB;2020;11;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;42,0
CHPB;2020;11;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 3;1273,0
CHPB;2020;11;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 5;256,0
CHPB;2020;12;CAC - CENTRO DE ACOLHIMENTO DE CRISE;81,06451612903226
CHPB;2020;12;UIC - UNIDADE INTERCORRENCIAS CLINICAS;1,0
CHPB;2020;12;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;33,4
CHPB;2020;12;UNIDADE INTERNAÇÃO - PSIQUIATRIA MÓDULO RESIDENCIAL 2;440,0
CHPB;2021;1;CAC - CENTRO DE ACOLHIMENTO DE CRISE;22,266666666666666
CHPB;2021;1;UIC - UNIDADE INTERCORRENCIAS CLINICAS;1184,3076923076924
CHPB;2021;1;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;60,333333333333336
CHPB;2021;2;CAC - CENTRO DE ACOLHIMENTO DE CRISE;22,857142857142858
CHPB;2021;2;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;22,0
CHPB;2021;3;CAC - CENTRO DE ACOLHIMENTO DE CRISE;20,444444444444443
CHPB;2021;3;LAR INCLUSIVO B;1086,0
CHPB;2021;3;UIC - UNIDADE INTERCORRENCIAS CLINICAS;99,0
CHPB;2021;3;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;62,0
CHPB;2021;3;UNIDADE INTERNAÇÃO - PSIQUIATRIA;20,842105263157894
CHPB;2021;4;LAR INCLUSIVO B;2476,0
CHPB;2021;4;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;16,5
CHPB;2021;4;UNIDADE DE TRATAMENTO CLINICO;2454,0
CHPB;2021;4;UNIDADE INTERNAÇÃO - PSIQUIATRIA;27,833333333333332
CHPB;2021;5;LAR INCLUSIVO D;92,0
CHPB;2021;5;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;27,0
CHPB;2021;5;UNIDADE DE TRATAMENTO CLINICO;28,0
CHPB;2021;5;UNIDADE INTERNAÇÃO - PSIQUIATRIA;22,434782608695652
CHPB;2021;6;LAR INCLUSIVO C;359,0
CHPB;2021;6;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;23,0
CHPB;2021;6;UNIDADE DE TRATAMENTO CLINICO;2,0
CHPB;2021;6;UNIDADE INTERNAÇÃO - PSIQUIATRIA;40,93333333333333
CHPB;2021;7;LAR INCLUSIVO B;332,0
CHPB;2021;7;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;45,42857142857143
CHPB;2021;7;UNIDADE DE TRATAMENTO CLINICO;1549,3333333333333
CHPB;2021;7;UNIDADE INTERNAÇÃO - PSIQUIATRIA;20,47826086956522
CHPB;2021;8;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;60,75
CHPB;2021;8;UNIDADE DE TRATAMENTO CLINICO;1473,375
CHPB;2021;8;UNIDADE INTERNAÇÃO - PSIQUIATRIA;30,94736842105263
CHPB;2021;9;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;16,5
CHPB;2021;9;UNIDADE DE TRATAMENTO CLINICO;4,0
CHPB;2021;9;UNIDADE INTERNAÇÃO - PSIQUIATRIA;113,39285714285714
CHPB;2021;10;LAR INCLUSIVO D;244,0
CHPB;2021;10;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;24,25
CHPB;2021;10;UNIDADE DE TRATAMENTO CLINICO;724,5
CHPB;2021;10;UNIDADE INTERNAÇÃO - PSIQUIATRIA;19,470588235294116
CHPB;2021;11;LAR INCLUSIVO;2185,6666666666665
CHPB;2021;11;LAR INCLUSIVO B;5113,0
CHPB;2021;11;LAR INCLUSIVO C;4099,0
CHPB;2021;11;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;21,6
CHPB;2021;11;UNIDADE DE TRATAMENTO CLINICO;30,0
CHPB;2021;11;UNIDADE INTERNAÇÃO - PSIQUIATRIA;22,517241379310345
CHPB;2021;12;LAR INCLUSIVO;713,0
CHPB;2021;12;LAR INCLUSIVO D;5144,0
CHPB;2021;12;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;17,875
CHPB;2021;12;UNIDADE DE TRATAMENTO CLINICO;1476,0
CHPB;2021;12;UNIDADE INTERNAÇÃO - PSIQUIATRIA;32,2962962962963
CHPB;2022;1;LAR INCLUSIVO;3701,3333333333335
CHPB;2022;1;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;17,333333333333332
CHPB;2022;1;UNIDADE DE TRATAMENTO CLINICO;1075,0
CHPB;2022;1;UNIDADE INTERNAÇÃO - PSIQUIATRIA;30,785714285714285
CHPB;2022;2;LAR INCLUSIVO E;133,0
CHPB;2022;2;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;59,625
CHPB;2022;2;UNIDADE DE TRATAMENTO CLINICO;21,0
CHPB;2022;2;UNIDADE INTERNAÇÃO - PSIQUIATRIA;25,470588235294116
CHPB;2022;3;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;40,2
CHPB;2022;3;UNIDADE INTERNAÇÃO - PSIQUIATRIA;33,421052631578945
CHPB;2022;4;LAR INCLUSIVO;5011,0
CHPB;2022;4;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;33,0
CHPB;2022;4;UNIDADE DE TRATAMENTO CLINICO;4122,0
CHPB;2022;4;UNIDADE INTERNAÇÃO - PSIQUIATRIA;25,962962962962962
CHPB;2022;5;LAR INCLUSIVO C;2763,5
CHPB;2022;5;LAR INCLUSIVO E;658,0
CHPB;2022;5;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;26,363636363636363
CHPB;2022;5;UNIDADE DE TRATAMENTO CLINICO;2358,0
CHPB;2022;5;UNIDADE INTERNAÇÃO - PSIQUIATRIA;38,523809523809526
CHPB;2022;6;LAR INCLUSIVO;3384,6666666666665
CHPB;2022;6;LAR INCLUSIVO C;3339,0
CHPB;2022;6;LAR INCLUSIVO D;1682,0
CHPB;2022;6;LAR INCLUSIVO E;21461,0
CHPB;2022;6;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;38,142857142857146
CHPB;2022;6;UNIDADE INTERNAÇÃO - PSIQUIATRIA;36,56521739130435
CHPB;2022;7;LAR INCLUSIVO;18206,0
CHPB;2022;7;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;37,111111111111114
CHPB;2022;7;UNIDADE INTERNAÇÃO - PSIQUIATRIA;39,3
CHPB;2022;8;CAC - CENTRO DE ACOLHIMENTO DE CRISE;24,25
CHPB;2022;8;LAR INCLUSIVO;994,0
CHPB;2022;8;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;77,6
CHPB;2022;8;UNIDADE INTERNAÇÃO - PSIQUIATRIA;32,833333333333336
CHPB;2022;9;CAC - CENTRO DE ACOLHIMENTO DE CRISE;29,272727272727273
CHPB;2022;9;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;41,333333333333336
CHPB;2022;10;CAC - CENTRO DE ACOLHIMENTO DE CRISE;58,041666666666664
CHPB;2022;10;LAR INCLUSIVO B;1554,0
CHPB;2022;10;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;36,76923076923077
CHPB;2022;10;UNIDADE INTERNAÇÃO - PSIQUIATRIA;622,0
CHPB;2022;11;CAC - CENTRO DE ACOLHIMENTO DE CRISE;35,12903225806452
CHPB;2022;11;LAR INCLUSIVO;771,0
CHPB;2022;11;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;318,26666666666665
CHPB;2022;12;CAC - CENTRO DE ACOLHIMENTO DE CRISE;31,5
CHPB;2022;12;LAR INCLUSIVO D;817,0
CHPB;2022;12;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;55,53333333333333
CHPB;2023;1;CAC - CENTRO DE ACOLHIMENTO DE CRISE;33,074074074074076
CHPB;2023;1;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;42,0
CHPB;2023;1;UNIDADE INTERNAÇÃO - PSIQUIATRIA;18,0
CHPB;2023;2;CAC - CENTRO DE ACOLHIMENTO DE CRISE;26,681818181818183
CHPB;2023;2;LAR INCLUSIVO;772,0
CHPB;2023;2;LAR INCLUSIVO B;3067,0
CHPB;2023;2;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;34,46153846153846
CHPB;2023;3;CAC - CENTRO DE ACOLHIMENTO DE CRISE;43,38709677419355
CHPB;2023;3;LAR INCLUSIVO B;771,0
CHPB;2023;3;LAR INCLUSIVO C;5601,0
CHPB;2023;3;LAR INCLUSIVO D;787,0
CHPB;2023;3;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;35,46666666666667
CHPB;2023;4;CAC - CENTRO DE ACOLHIMENTO DE CRISE;29,96153846153846
CHPB;2023;4;LAR INCLUSIVO;1303,0
CHPB;2023;4;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;31,72222222222222
CHPB;2023;4;UNIDADE INTERNAÇÃO - PSIQUIATRIA;6,0
CHPB;2023;5;CAC - CENTRO DE ACOLHIMENTO DE CRISE;21,511627906976745
